value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3,temperature,temperature_unit
0.7354456787022983,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.5,0.5,,,308.15,K
0.6824862215634352,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.6,0.4,,,308.15,K
0.6355134856663567,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.7,0.3,,,308.15,K
0.5917643688994698,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.8,0.2,,,308.15,K
0.5581466265417567,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.9,0.1,,,308.15,K
-0.0359203274507071,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.4,0.6,,,323.15,K
-0.0059867212417845,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.5,0.5,,,323.15,K
0.3785449892882211,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.6,0.4,,,298.15,K
0.0241771434764374,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.6,0.4,,,323.15,K
0.05411074968536,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.7,0.3,,,323.15,K
0.5528506808278705,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.1,0.9,,,320.65,K
0.4681155494056895,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.2,0.8,,,320.65,K
0.4045642008390538,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.3,0.7,,,320.65,K
0.3509139681722926,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.4,0.6,,,320.65,K
0.312460797119292,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.5,0.5,,,320.65,K
0.2841390004754652,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.6,0.4,,,320.65,K
0.2694024558803033,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.7,0.3,,,320.65,K
0.2574290133967343,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.8,0.2,,,320.65,K
0.2735471090476926,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.9,0.1,,,320.65,K
-0.9191919691232232,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.1,0.9,,,303.15,K
-0.6055798794574341,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.2,0.8,,,303.15,K
-0.4312741879177847,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.3,0.7,,,303.15,K
-0.2620341835827224,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.4,0.6,,,303.15,K
-0.0994716760173427,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.5,0.5,,,303.15,K
0.0527291986295636,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.6,0.4,,,303.15,K
0.2023972296741766,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.7,0.3,,,303.15,K
0.3398615597259212,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.8,0.2,,,303.15,K
0.4598262430709109,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.9,0.1,,,303.15,K
-0.8699166481331506,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.1,0.9,,,303.15,K
-0.6933083715005072,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.2,0.8,,,303.15,K
-0.520153972507355,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.3,0.7,,,303.15,K
-0.3495324171164961,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.4,0.6,,,303.15,K
-0.1855883584953201,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.5,0.5,,,303.15,K
-0.0248679190043356,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.6,0.4,,,303.15,K
0.1282539896797683,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.7,0.3,,,303.15,K
0.2758496941406867,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",,,0.8,0.2,,,303.15,K
