value,unit,component_inchi_0
20.0,-,"InChI=1S/C4H6O/c1-2-4-5-3-1/h1,3H,2,4H2"
15.6,-,"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2"
41.1,-,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
21.9,-,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
21.1,-,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3"
6.1,-,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2
63.5,-,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3"
38.2,-,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2
19.5,-,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
21.3,-,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3"
9.8,-,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2"
6.4,-,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
17.9,-,"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2"
25.0,-,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3"
13.1,-,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
12.1,-,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3"
16.0,-,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3"
57.3,-,"InChI=1S/C5H12O2/c1-3-6-5-7-4-2/h3-5H2,1-2H3"
27.8,-,"InChI=1S/C5H12O2/c1-5(2)7-4-3-6/h5-6H,3-4H2,1-2H3"
31.3,-,"InChI=1S/C5H12O2/c1-5(2,6-3)7-4/h1-4H3"
38.3,-,"InChI=1S/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3"
13.9,-,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H
9.0,-,"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3"
10.0,-,"InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2"
13.0,-,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
23.9,-,"InChI=1S/C5H8O/c1-2-4-6-5-3-1/h2,4H,1,3,5H2"
9.0,-,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2
18.1,-,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2"
10.4,-,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2
13.7,-,"InChI=1S/C6H10O3/c1-3-9-6(8)4-5(2)7/h3-4H2,1-2H3"
7.8,-,"InChI=1S/C6H10O3/c1-5(7)3-4-6(8)9-2/h3-4H2,1-2H3"
20.0,-,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2
27.4,-,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
17.2,-,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3"
75.2,-,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3"
28.1,-,"InChI=1S/C6H12O/c1-2-6-4-3-5-7-6/h6H,2-5H2,1H3"
12.6,-,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3"
47.3,-,"InChI=1S/C6H12O/c1-7-6-4-2-3-5-6/h6H,2-5H2,1H3"
16.3,-,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2"
13.3,-,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
11.5,-,"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3"
24.0,-,"InChI=1S/C6H12O3/c1-5(4-8-3)9-6(2)7/h5H,4H2,1-3H3"
48.0,-,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
34.5,-,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3"
